QID,positive,negative,neutral,joy,anger,surprise,disgust,fear,sadness,trust,anticipation
qGEN40,16.52,14.1,69.38,10.5,10.44,13.38,8.72,12.93,11.27,16.14,16.62
qGEN41,15.67,29.98,54.35,14.16,12.07,12.21,11.39,15.15,11.36,9.12,14.55
qGEN42,18.88,19.9,61.22,10.4,11.59,10.52,11.92,13.53,13.5,15.47,13.07
qGEN43,16.28,17.46,66.26,10.98,12.22,11.69,10.53,13.27,13.11,15.41,12.79
qGEN44,12.14,15.65,72.21,11.21,12.98,10.77,11.77,16.08,12.6,13.48,11.11
qGEN45,12.14,15.65,72.21,11.21,12.98,10.77,11.77,16.08,12.6,13.48,11.11
qGEN46,18.07,9.91,72.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN47,16.72,12.56,70.72,14.74,13.84,12.52,10.7,11.9,12.25,13.75,10.3
qGEN48,18.93,20.83,60.24,11.83,12.1,12.59,10.3,17.1,10.95,9.32,15.81
qGEN49,15.47,17.64,66.88,12.44,10.85,12.79,10.79,17.31,10.12,9.1,16.61
qGEN50,25.06,19.36,55.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN51,12.87,15.19,71.94,18.35,11.39,16.94,10.25,10.28,9.66,9.54,13.6
qGEN52,14.34,13.03,72.63,18.25,11.79,17.95,8.94,9.09,10.31,10.74,12.93
qGEN53,7.21,6.28,86.5,18.25,11.79,17.95,8.94,9.09,10.31,10.74,12.93
qGEN54,14.71,25.94,59.35,14.16,12.07,12.21,11.39,15.15,11.36,9.12,14.55
qGEN55,11.57,22.97,65.46,14.16,12.07,12.21,11.39,15.15,11.36,9.12,14.55
qGEN56,11.15,13.71,75.14,17.75,12.17,16.15,9.02,10.13,10.2,11.86,12.72
qGEN57,11.95,16.55,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qGEN58,7.23,6.57,86.21,12.56,11.9,12.11,10.18,15.5,12.31,13.32,12.12
